R0,vaccine_failure,coverage,assortativity,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
4,0.03,0,0,2499999.99916386,0,2567.6138746923,0,7497432.38696145,0,0,937.500015997025,0
4,0.03,0,0.266673269157703,2499999.99903315,0,2567.61383498625,0,7497432.38713186,0,0,937.500001499355,0
4,0.03,0,0.392305325416338,2499999.99948139,0,2567.61382794368,0,7497432.38669066,0,0,937.499998927935,0
4,0.03,0,0.598779134946017,2500000.00051881,0,2567.61382755465,0,7497432.38565363,0,0,937.499998785891,0
4,0.03,0,0.9,2500000.00126719,0,2567.61385846207,0,7497432.38487435,0,0,937.500010070962,0
4,0.03,0,0.98,2499999.99949558,0,2567.61380916683,0,7497432.38669525,0,0,937.499992072039,0
4,0.03,0.01,0,2499242.65330874,757.34625857843,2533.63821471732,0.767769155974973,7398223.70847654,99241.8859722656,0.000302938503483804,925.09465314866,0.280331713075362
4,0.03,0.01,0.266673269157703,2492776.61763861,938.862356485008,2535.85184394031,0.705627388896368,7404687.53051745,99060.4320161261,0.000278183087460899,925.902904518704,0.257642200370787
4,0.03,0.01,0.392305325416338,2489737.71101863,1059.24826982295,2536.89225055993,0.664413462312963,7407725.39673081,98940.0873167147,0.000261831970782403,926.282782985696,0.242593965427021
4,0.03,0.01,0.598779134946017,2484749.09673589,1345.31651130931,2538.60008276416,0.566478423201807,7412712.30318134,98654.1170102674,0.000223096204818053,926.906355219265,0.20683543427156
4,0.03,0.01,0.9,2477453.23224624,2267.02850691389,2541.09785419385,0.250931701369764,7420005.66989956,97732.7205613847,9.87395759143584e-05,927.818354012531,0.091621437462635
4,0.03,0.01,0.98,2475493.85973815,2812.26216077847,2541.76866189108,0.0642717677905045,7421964.37159996,97187.6735674538,2.52855988052636e-05,928.063282672981,0.0234672292145079
4,0.03,0.02,0,2498470.32480367,1529.67570906347,2499.66781937727,1.53040886900649,7299030.00737695,198468.793882068,0.000611870283499896,912.691212550127,0.558790538295994
4,0.03,0.02,0.266673269157703,2485450.15125948,1893.5280229286,2504.12523963089,1.40584456129537,7312045.72350089,198105.06613251,0.00056109643586746,914.31872812023,0.513308995442972
4,0.03,0.02,0.392305325416338,2479354.17571397,2134.65818321758,2506.21224175201,1.32329403901272,7318139.61204428,197864.018522743,0.000527726933526895,915.080744769704,0.483167735994519
4,0.03,0.02,0.598779134946017,2469379.17187653,2707.04030207862,2509.62711540345,1.12733984491263,7328111.20100807,197291.832358076,0.000449004418793758,916.327600511686,0.411619960873724
4,0.03,0.02,0.9,2454862.07688604,4545.28743150702,2514.59704407456,0.498018684488408,7342623.32606988,195454.214549808,0.000198011873134563,918.142245717723,0.18183907217383
4,0.03,0.02,0.98,2450977.96053269,5628.06905053221,2515.92671557384,0.127329998911174,7346506.11275173,194371.803619469,5.06070205984739e-05,918.6277420239,0.0464913658524424
4,0.03,0.03,0,2497682.56362125,2317.43743016409,2465.7026176146,2.28776531531259,7199851.73376114,297680.274804521,0.000926974971675797,900.28966825653,0.83532031075351
4,0.03,0.03,0.266673269157703,2478018.38211564,2864.37679649671,2472.43463603737,2.10052145296878,7219509.18324832,297133.52268205,0.000848854964380102,902.747696483147,0.766952895515225
4,0.03,0.03,0.392305325416338,2468847.23714914,3226.57449668479,2475.57436646079,1.97652361243332,7228677.1884844,296771.448979703,0.000797773163955031,903.894090553998,0.721678183989717
4,0.03,0.03,0.598779134946017,2453888.81830922,4085.44656145974,2480.69534559224,1.68249003322199,7243630.48634519,295912.870948507,0.000677773548037689,905.763888059366,0.614319173380178
