R0,vaccine_failure,coverage,phi,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0,0,666666.666664208,0,3195.25276734683,0,9330138.08056845,0,0,1166.66666667751,0
15,0.03,0,0.0001,666666.666664028,0,3195.25276734054,0,9330138.08056863,0,0,1166.66666667522,0
15,0.03,0,0.001,666666.666664279,0,3195.25276736654,0,9330138.08056836,0,0,1166.66666668471,0
15,0.03,0,0.01,666666.666664029,0,3195.25276734093,0,9330138.08056863,0,0,1166.66666667536,0
15,0.03,0.01,0,666464.707663386,201.959002322238,3161.08705677476,0.957905168719625,9230374.20527984,99797.083092509,0.000302938503483793,1154.19191160489,0.349755124728753
15,0.03,0.01,0.0001,666464.056195508,201.977256758694,3161.08727954185,0.957898919261104,9230374.85652495,99797.064844322,0.0003029365063428,1154.19199294272,0.349752842895211
15,0.03,0.01,0.001,666458.193012735,202.141695752266,3161.08928689214,0.957842623846354,9230380.71770037,99796.9004616239,0.000302918515952977,1154.19272587649,0.3497322880319
15,0.03,0.01,0.01,666399.566730158,203.800979330501,3161.10935745638,0.957274570567297,9230439.32391239,99795.2417460989,0.000302737001450746,1154.20005414126,0.349524877578384
15,0.03,0.02,0,666258.753147125,407.913522334974,3126.92271371469,1.91444247778451,9130614.32413916,199590.172035187,0.000611870283499898,1141.71765584508,0.699010809701068
15,0.03,0.02,0.0001,666257.437772624,407.950327499175,3126.92316405275,1.91442987760455,9130615.63906332,199590.135242623,0.000611866170784435,1141.71782027476,0.699006209060363
15,0.03,0.02,0.001,666245.599679949,408.281874317793,3126.92721689982,1.9143163731023,9130627.47310315,199589.803809309,0.000611829123573359,1141.71930007055,0.698964765728976
15,0.03,0.02,0.01,666127.241605615,411.62734578038,3126.96773654239,1.91317105588769,9130745.79065784,199586.459483164,0.000611455377301731,1141.73409480504,0.698546581780992
15,0.03,0.03,0,666048.683355011,617.983314453103,3092.75977967903,2.8695709295991,9030858.55686531,299379.147114617,0.000926974971675765,1129.24391455531,1.04775208566987
15,0.03,0.03,0.0001,666046.691297331,618.038972792486,3092.76046171851,2.86955187510656,9030860.54824095,299379.091475332,0.000926968617859921,1129.24416358497,1.04774512839828
15,0.03,0.03,0.001,666028.763356871,618.540351652111,3092.76659940249,2.86938022887511,9030878.47004373,299378.590268119,0.000926911383558993,1129.24640460684,1.04768245606802
15,0.03,0.03,0.01,665849.536538218,623.599473820114,3092.82795739533,2.8676482458965,9031057.63550439,299373.532877934,0.000926334049339617,1129.26880794397,1.04705006578296
15,0.03,0.04,0,665834.373702089,832.292967127611,3058.59829718621,3.82324787148276,8931107.02800073,399163.883785001,0.00124843945068664,1116.77070326011,1.39596337907514
15,0.03,0.04,0.0001,665831.691808162,832.367787346079,3058.59921523385,3.82322225677395,8931109.7089766,399163.808990397,0.00124843072267546,1116.77103846226,1.39595402650459
15,0.03,0.04,0.001,665807.555741493,833.04177879991,3058.60747833797,3.82299151700052,8931133.83678017,399163.135229683,0.00124835210289087,1116.77405552815,1.39586977764482
15,0.03,0.04,0.01,665566.290586394,839.842582767762,3058.69007520238,3.82066327201237,8931375.0193384,399156.33675396,0.00124755914289974,1116.80421370827,1.39501967719352
15,0.03,0.05,0,665615.694519043,1050.97214924059,3024.43831053319,4.7754289113682,8831359.86717042,498944.252421848,0.00157645822385707,1104.29803813343,1.74362848126331
15,0.03,0.05,0.0001,665612.30924083,1051.06644638881,3024.43946965747,4.77539662916308,8831363.25128951,498944.158156982,0.00157644698047353,1104.29846135868,1.74361669422317
15,0.03,0.05,0.001,665581.843317316,1051.91588827778,3024.44989951277,4.77510582382647,8831393.70678317,498943.309005898,0.00157634570407089,1104.3022695596,1.74351051392464
15,0.03,0.05,0.01,665277.336331506,1060.48698286791,3024.55414714991,4.77217152255373,8831698.10952134,498934.74084561,0.00157532435285646,1104.34033297811,1.74243912717243
15,0.03,0.06,0,665392.510797736,1274.15587174034,2990.27986617027,5.72606782883668,8731617.20933609,598720.118060431,0.00191123380760246,1091.82593613542,2.09073051600399
15,0.03,0.06,0.0001,665388.408197468,1274.26996734147,2990.28127070036,5.72602876839861,8731621.31053183,598720.00400389,0.00191121989903494,1091.82644896447,2.09071625406154
15,0.03,0.06,0.001,665351.487059493,1275.29775562793,2990.29391054776,5.72567690651511,8731658.21902996,598718.976567465,0.00191109461716845,1091.83106408875,2.09058778049133
15,0.03,0.06,0.01,664982.499550508,1285.66833651764,2990.42023278594,5.72212655342698,8732027.0802167,598708.609536929,0.00190983133214293,1091.87718749597,2.08929145782003
