"phi","p_hat","p_c"
0,0.76,0.963135263308095
0.27,0.78,0.999306216181452
0.39,0.77,0.999332724945762
0.6,0.75,0.99930817564144
0.9,0.66,0.999199718829262
0.98,0.57,0.999155301319077
